,Agree,Total,Error Agree,Error Total,Agree Geva,Agree Error Geva,Total Geva
0,27982,32712,27982,0,27851,27436,32262
1,26572,31362,26440,0,26628,26248,30959
2,25388,30300,25353,0,25637,25378,29930
3,23887,28477,23793,0,24016,23715,28077
4,22500,26988,22487,0,22726,22526,26607
5,20802,25093,20768,0,21009,20790,24773
6,19674,23843,19646,0,19940,19694,23482
7,18168,21946,18116,0,18397,18142,21662
8,16773,20197,16788,0,16988,16778,19929
9,15053,17961,14997,0,15114,14977,17687
10,12981,15675,12981,0,13094,12903,15500
11,11447,13887,11444,0,11441,11305,13681
12,9893,12066,9889,0,10075,9973,11878
13,8402,10075,8375,0,8489,8407,9944
14,6823,8228,6800,0,6830,6771,8102
15,5426,6580,5434,0,5405,5347,6445
16,4248,5000,4246,0,4140,4095,4910
17,2891,3448,2877,0,2895,2858,3398
18,2092,2473,2076,0,2046,2004,2392
19,611,746,607,0,618,596,734
