,Agree,Total,Error Agree,Error Total,Agree Geva,Agree Error Geva,Total Geva
0,29883,35248,29855,0,29767,29468,34386
1,28177,33411,28150,0,27897,27508,32541
2,26029,31363,26019,0,26090,25749,30550
3,24475,29462,24398,0,24367,24085,28729
4,22504,27183,22484,0,22698,22368,26483
5,21053,25207,21005,0,21046,20829,24508
6,19707,23908,19643,0,19654,19510,23345
7,18944,22841,18903,0,18894,18752,22266
8,17037,20484,17001,0,17128,16945,19945
9,15585,18629,15581,0,15627,15467,18220
10,13692,16428,13699,0,13730,13551,16116
11,12310,14787,12340,0,12326,12184,14435
12,11188,13505,11137,0,11268,11164,13252
13,9878,11976,9888,0,9913,9835,11733
14,8726,10564,8721,0,8775,8661,10409
15,7220,8637,7226,0,7099,7042,8504
16,5794,6912,5779,0,5736,5651,6810
17,3931,4737,3916,0,3983,3906,4664
18,2209,2730,2219,0,2254,2227,2699
19,530,654,532,0,551,550,653
