,Agree,Total,Error Agree,Error Total,Agree Geva,Agree Error Geva,Total Geva
0,29938,35251,29944,0,30029,29697,34586
1,27852,32860,27784,0,27801,27521,32217
2,25924,30778,25941,0,25825,25505,30107
3,24150,28756,24110,0,24027,23740,28134
4,23248,27976,23222,0,23390,23143,27436
5,21728,25950,21682,0,21749,21450,25417
6,20392,24298,20358,0,20375,20131,23766
7,18908,22710,18909,0,18906,18716,22194
8,17172,20501,17136,0,17125,16968,20034
9,16213,19398,16193,0,16149,15942,18927
10,14199,17067,14177,0,13963,13865,16665
11,12705,15332,12679,0,12678,12546,14987
12,11348,13704,11308,0,11255,11141,13297
13,9891,11910,9877,0,9880,9731,11618
14,8414,10061,8372,0,8366,8282,9823
15,7263,8653,7216,0,7219,7089,8412
16,5972,7108,5958,0,5963,5845,6865
17,4314,5119,4322,0,4217,4196,4937
18,2564,3004,2548,0,2504,2461,2853
19,697,806,689,0,662,660,780
