,Agree,Total,Error Agree,Error Total,Agree Geva,Agree Error Geva,Total Geva
0,32552,38944,32475,0,32656,32287,37894
1,30887,37079,30888,0,31047,30719,36201
2,28988,35356,29003,0,29445,29105,34553
3,26982,33023,26989,0,27427,27068,32282
4,25042,30537,25021,0,25418,25199,29882
5,24443,29846,24417,0,24754,24446,29117
6,23518,28485,23474,0,23625,23452,27767
7,21424,25907,21463,0,21526,21224,25194
8,19474,23695,19454,0,19590,19287,23171
9,17653,21378,17597,0,17523,17297,20849
10,14990,18293,14973,0,15240,14995,17944
11,13185,16201,13155,0,13310,13149,15837
12,11601,14210,11577,0,11779,11628,13949
13,9594,11773,9613,0,9743,9623,11586
14,8104,9872,8070,0,8227,8194,9705
15,6607,8069,6584,0,6690,6615,7914
16,5011,6159,5009,0,5100,4998,6017
17,3592,4473,3570,0,3645,3578,4383
18,2391,2894,2397,0,2378,2355,2830
19,789,954,782,0,754,745,927
