,Agree,Total,Error Agree,Error Total,Agree Geva,Agree Error Geva,Total Geva
0,32346,38319,32223,0,32560,32220,37685
1,30406,36186,30333,0,30508,30245,35609
2,29000,34743,28939,0,29409,29191,34167
3,27056,32552,27045,0,27336,27033,32016
4,25555,30708,25527,0,25894,25627,30249
5,24082,28982,24020,0,24296,24082,28493
6,22384,27191,22294,0,22624,22426,26797
7,20434,24664,20426,0,20504,20252,24224
8,18951,22966,18897,0,19218,19042,22603
9,17337,20883,17314,0,17618,17437,20527
10,15531,18891,15504,0,15814,15696,18598
11,14049,17093,14060,0,14339,14146,16808
12,12447,15284,12468,0,12687,12515,14951
13,10774,13184,10766,0,10998,10851,12981
14,8926,10704,8909,0,8893,8829,10490
15,7763,9423,7762,0,7826,7778,9253
16,5985,7227,5985,0,6012,5980,7115
17,4456,5375,4447,0,4531,4513,5329
18,2564,3166,2573,0,2603,2593,3147
19,557,674,553,0,530,539,674
