,Agree,Total,Error Agree,Error Total,Agree Geva,Agree Error Geva,Total Geva
0,195878,243841,195531,0,191734,189952,232981
1,187174,235017,187225,0,183359,181919,224232
2,177307,223494,177188,0,173244,172034,212720
3,166014,209065,165829,0,162282,161052,199123
4,155326,196616,155080,0,151715,150680,187001
5,145023,183988,144803,0,142007,140873,175319
6,135497,171793,135316,0,132601,131645,163772
7,126423,159822,126205,0,123973,122935,152616
8,115986,147121,115834,0,113697,112714,140316
9,104577,133205,104564,0,102917,102161,127130
10,94644,121042,94588,0,93515,92807,115545
11,83292,106624,83266,0,82183,81577,101768
12,72848,93308,72847,0,72154,71552,89053
13,62709,80412,62680,0,61929,61348,76776
14,52950,67798,52853,0,52514,52073,64843
15,42839,55137,42834,0,42677,42349,52828
16,32654,41390,32650,0,32303,32082,39673
17,22573,28482,22564,0,22306,22184,27421
18,13418,16973,13407,0,13230,13142,16337
19,3935,4924,3936,0,3827,3790,4740
