,Agree,Total,Error Agree,Error Total,Agree Geva,Agree Error Geva,Total Geva
0,188665,235105,188467,0,185069,183520,226033
1,178170,224158,178103,0,174129,172647,214677
2,166839,211431,166896,0,163753,162446,202463
3,156180,199305,156154,0,153909,152619,191167
4,146975,187366,146874,0,144768,143382,179772
5,137660,175881,137535,0,135924,134618,168706
6,128742,164057,128752,0,127386,126186,157356
7,119306,151916,119301,0,117603,116614,145516
8,110108,140195,110000,0,108139,107163,134365
9,101064,128619,101056,0,99113,98277,123224
10,90472,115617,90441,0,88968,88247,110734
11,78979,101437,78974,0,77837,77238,97149
12,70185,89675,70154,0,68846,68398,85923
13,61138,78137,61066,0,59882,59281,74677
14,51879,66241,51830,0,50849,50579,63227
15,42839,54637,42885,0,41547,41341,52147
16,33524,42863,33482,0,32353,32156,40695
17,24117,30742,24101,0,23601,23431,29296
18,13645,17439,13614,0,13238,13158,16574
19,3844,4821,3849,0,3698,3674,4556
