,Agree,Total,Error Agree,Error Total,Agree Geva,Agree Error Geva,Total Geva
0,192930,241833,192624,0,189117,187305,230585
1,181119,229140,180965,0,176957,175304,217602
2,171179,217771,171016,0,168039,166540,206872
3,161061,206262,161018,0,158184,156793,195997
4,152067,194706,151927,0,149232,147893,184941
5,142202,182752,142007,0,140138,138754,173632
6,131459,168631,131389,0,129616,128524,160126
7,119730,154292,119611,0,118115,117101,146715
8,110964,142342,111010,0,109340,108441,135363
9,101102,130525,101037,0,99617,98834,124056
10,91467,118382,91369,0,90520,89702,112471
11,82568,106859,82573,0,81043,80394,101099
12,72245,93149,72109,0,71122,70543,88367
13,62198,80619,62136,0,61230,60545,76143
14,51839,66976,51759,0,50941,50496,63467
15,42391,54510,42438,0,41361,40983,51608
16,33773,43203,33793,0,32886,32583,40761
17,23991,30582,24013,0,23100,22906,28636
18,13960,17903,13957,0,13455,13346,16701
19,4208,5401,4189,0,3999,3977,4967
