,Agree,Total,Error Agree,Error Total,Agree Geva,Agree Error Geva,Total Geva
0,199446,249009,199293,0,193851,192103,235468
1,186508,235096,186393,0,181197,179570,222072
2,175529,222848,175441,0,171040,169592,210300
3,164946,210038,164903,0,160384,159181,197714
4,154440,196751,154426,0,149855,148837,185301
5,145242,184936,145196,0,141154,140111,174074
6,134829,171944,134869,0,130891,130012,162044
7,123844,158777,123667,0,121097,120256,149770
8,113669,146186,113558,0,111400,110591,137870
9,104377,133252,104312,0,101467,100488,125360
10,93666,120570,93761,0,91395,90726,113469
11,83356,107176,83307,0,81332,80727,100819
12,72870,94061,72947,0,71164,70552,88452
13,63412,81613,63309,0,62013,61591,77012
14,53995,69302,53965,0,52888,52685,65670
15,43930,56940,43997,0,43659,43437,54293
16,34600,44735,34537,0,34013,33914,42547
17,24052,30891,23971,0,23537,23397,29330
18,13304,17343,13300,0,13003,12916,16494
19,4005,5175,3990,0,3881,3875,4948
