,Agree,Total,Error Agree,Error Total,Agree Geva,Agree Error Geva,Total Geva
0,190345,238502,190106,0,187650,185744,228386
1,179642,226971,179449,0,176550,174871,216631
2,168936,214738,168807,0,166318,164979,204888
3,158895,202890,158800,0,156720,155212,193272
4,148085,189500,148013,0,146094,144757,180711
5,140111,178748,140045,0,138097,136782,170582
6,130377,167131,130214,0,128827,127651,159528
7,121162,154989,121068,0,119331,118278,148022
8,111214,143176,111174,0,110024,109150,136818
9,101261,130452,101161,0,99783,99103,124500
10,91185,117734,91083,0,89982,89375,112236
11,80383,104054,80281,0,79462,78728,99308
12,71527,92454,71465,0,70986,70277,88362
13,62923,81090,62766,0,62054,61479,77342
14,53035,68435,52917,0,52621,52183,65472
15,43682,57091,43675,0,43491,43125,54587
16,33803,43859,33792,0,33372,33083,41876
17,24568,31553,24556,0,24455,24240,30374
18,14345,18577,14352,0,14340,14203,17794
19,4226,5486,4246,0,4184,4183,5282
