,Agree,Total,Error Agree,Error Total,Agree Geva,Agree Error Geva,Total Geva
0,195536,242452,195241,0,190045,188229,231341
1,185240,232182,185061,0,181219,179601,221383
2,172274,217709,172063,0,168587,167270,207459
3,163118,206512,163103,0,159592,158203,196640
4,151061,191685,150947,0,147844,146485,182452
5,141649,180042,141594,0,139008,137816,171457
6,129904,165817,129861,0,127704,126724,157880
7,121193,154678,120964,0,119077,118164,146986
8,111128,142463,111059,0,109429,108528,135563
9,102078,130646,102005,0,100010,99273,124002
10,92050,118006,91997,0,90582,89709,112308
11,82052,104835,81832,0,80356,79690,99555
12,73385,93672,73226,0,71417,70835,88649
13,64870,82517,64819,0,62969,62404,77967
14,54180,69354,54168,0,52784,52218,65631
15,43514,56069,43458,0,42881,42513,53458
16,33424,43006,33410,0,32785,32584,40841
17,23133,29780,23130,0,22564,22371,28226
18,13701,17629,13704,0,13381,13287,16781
19,3830,5008,3802,0,3724,3725,4730
