,Agree,Total,Error Agree,Error Total,Agree Geva,Agree Error Geva,Total Geva
0,197899,246621,197317,0,194996,193104,236697
1,187871,236567,187547,0,185210,183293,226486
2,176693,223804,176639,0,174565,173105,213914
3,165925,210963,165928,0,163926,162640,201729
4,155347,197788,155111,0,153837,152459,188946
5,146029,186100,145858,0,144701,143713,178025
6,134713,172104,134653,0,133641,132613,164960
7,125482,159870,125484,0,124631,123847,153199
8,115405,147233,115264,0,114452,113601,141002
9,105065,134864,105171,0,104195,103554,129010
10,95775,122511,95813,0,94850,94090,117427
11,85270,109577,85180,0,84461,83789,104793
12,75878,97150,75785,0,75048,74421,92959
13,64977,83571,64883,0,64232,63708,79827
14,55139,70920,55131,0,54471,53922,67621
15,45579,58712,45495,0,45045,44664,56117
16,35416,45553,35424,0,35062,34721,43562
17,24418,31544,24423,0,24192,23982,30259
18,13903,17875,13897,0,13735,13574,17067
19,3622,4757,3623,0,3633,3587,4497
