,Agree,Total,Error Agree,Error Total,Agree Geva,Agree Error Geva,Total Geva
0,202514,252677,202234,0,195808,194077,238194
1,191424,241360,191181,0,185381,183742,226866
2,179452,228016,179486,0,173710,172328,213959
3,168526,214760,168554,0,163591,162427,201772
4,156029,198636,155972,0,151554,150383,186629
5,145286,186391,145226,0,141477,140278,174986
6,135883,174389,135880,0,132127,131189,163531
7,126758,162935,126579,0,123193,122336,152794
8,116547,149717,116534,0,113415,112368,140305
9,105082,135243,105032,0,102486,101590,126868
10,94890,122399,94826,0,92684,92097,114751
11,85355,109766,85368,0,83162,82586,102843
12,74391,95667,74310,0,72421,71856,89652
13,65283,84009,65278,0,63775,63224,78734
14,56102,72363,56083,0,54614,54120,67669
15,45136,58580,45178,0,44052,43682,54608
16,34690,45108,34641,0,33697,33385,41987
17,23544,30519,23579,0,22601,22354,28263
18,13552,17567,13507,0,13104,12969,16416
19,3628,4677,3639,0,3523,3489,4422
