,Agree,Total,Error Agree,Error Total,Agree Geva,Agree Error Geva,Total Geva
0,206835,256485,206369,0,203579,201621,245611
1,193612,243055,193632,0,190678,188894,232069
2,183032,230796,182784,0,180661,178990,220200
3,171589,217501,171262,0,169532,168171,207457
4,159773,202632,159661,0,158282,156746,193589
5,148748,188764,148504,0,146898,145748,180013
6,137491,175066,137375,0,135739,134584,166764
7,127845,162856,127794,0,126473,125627,155343
8,117768,149957,117625,0,116683,115675,142990
9,108315,137896,108176,0,106917,106058,131493
10,97374,124141,97525,0,96173,95588,118292
11,88372,112476,88368,0,86879,86367,107325
12,78282,99710,78238,0,77082,76629,95122
13,67053,85254,67035,0,66182,65741,81254
14,56058,71601,56076,0,55040,54600,68248
15,46009,59109,46035,0,45284,44972,56314
16,35325,45118,35293,0,34643,34469,42971
17,24302,30930,24235,0,23555,23420,29325
18,14139,17942,14152,0,13736,13686,16977
19,3642,4652,3648,0,3490,3482,4371
